"year","last_name, first_name","player_id","pitch_hand","api_pitch_type","n_pitches","release_speed","spin_rate","movement_inches","alan_active_spin_pct","active_spin","hawkeye_measured","movement_inferred","api_pitch_name","active_spin_formatted","hawkeye_measured_clock_minutes","movement_inferred_clock_minutes","diff_measured_inferred","diff2","diff_measured_inferred_minutes","hawkeye_measured_clock_hh","hawkeye_measured_clock_mm","movement_inferred_clock_hh","movement_inferred_clock_mm","diff_clock_hh","diff_clock_mm","hawkeye_measured_clock_label","movement_inferred_clock_label","diff_clock_label"
,"Berríos, José","621244","R","FF","596","94.3","2227","17.8",0.8427108717785877,0.9177688591232586,142.28504483323746,148.63340221319885,"4-Seam Fastball","92","75","60",-6.348357379961385,6.3483573799613815,"15",1,15,1,0,0,15,"1:15","1:00","+0H 15M"
,"Hendricks, Kyle","543294","R","FF","428","87.8","2134","14.8",0.7017428350872644,0.8492526602896254,148.85139831333834,159.49744299013656,"4-Seam Fastball","85","60","765",-10.646044676798226,10.646044676798226,"15",1,0,12,45,0,15,"1:00","12:45","+0H 15M"
,"Gore, MacKenzie","669022","L","FF","1431","95","2286","17.5",0.8294175256708359,0.915658076295448,202.64859217150408,194.60002846974268,"4-Seam Fastball","92","675","690",8.048563701761395,8.048563701761402,"-15",11,15,11,30,0,15,"11:15","11:30","-0H 15M"
,"Kopech, Michael","656629","R","FF","1479","95.2","2502","19.2",0.8794039119770978,0.9341940233552856,146.25433505373383,150.87646711614246,"4-Seam Fastball","93","60","60",-4.622132062408639,4.6221320624086415,"0",1,0,1,0,0,0,"1:00","1:00"," 0H 00M"
,"Clevinger, Mike","605182","R","FF","996","94.3","2266","18.5",0.8732527513957349,0.9521913441365553,154.98795685128565,155.82546928298984,"4-Seam Fastball","95","765","765",-0.837512431704198,0.8375124317042046,"0",12,45,12,45,0,0,"12:45","12:45"," 0H 00M"
,"Eovaldi, Nathan","543135","R","FF","817","95.1","2168","18.4",0.8896977791460341,0.9812356030568906,132.8642797025695,134.84705071490123,"4-Seam Fastball","98","90","90",-1.9827710123317388,1.9827710123317661,"0",1,30,1,30,0,0,"1:30","1:30"," 0H 00M"
,"Corbin, Patrick","571578","L","FF","485","91.8","2094","15.7",0.7560326793793163,0.8952067212731869,215.66577867234008,213.95355766116552,"4-Seam Fastball","90","645","645",1.712221011174563,1.7122210111745635,"0",10,45,10,45,0,0,"10:45","10:45"," 0H 00M"
,"Fairbanks, Pete","664126","R","FF","361","98.9","2454","18.6",0.8604353631648897,0.876753195996256,171.8143574948368,179.6495968477281,"4-Seam Fastball","88","735","720",-7.835239352891307,7.8352393528912945,"15",12,15,12,0,0,15,"12:15","12:00","+0H 15M"
,"Johnson, Pierce","572955","R","FF","382","95.9","2306","17.2",0.8880466614079343,0.9660046788253512,136.83513588873734,143.92716818306957,"4-Seam Fastball","97","90","75",-7.092032294332228,7.092032294332209,"15",1,30,1,15,0,15,"1:30","1:15","+0H 15M"
,"Montero, Rafael","606160","R","FF","608","96.1","2353","17.8",0.8300568176048677,0.8881980374328033,140.27788820367473,147.6372508985998,"4-Seam Fastball","89","75","60",-7.359362694925068,7.359362694925093,"15",1,15,1,0,0,15,"1:15","1:00","+0H 15M"
,"Suárez, Ranger","624133","L","FF","431","93.4","1976","14.1",0.7087923829414863,0.8554488813657917,225.5427501597261,210.63325602459173,"4-Seam Fastball","86","630","660",14.909494135134366,14.909494135134361,"-30",10,30,11,0,0,30,"10:30","11:00","-0H 30M"
,"Marinaccio, Ron","676760","R","FF","448","93.8","2268","20.4",0.9466103097683796,0.9897582360340189,140.4393406906857,141.88977861586076,"4-Seam Fastball","99","75","75",-1.4504379251750663,1.4504379251750499,"0",1,15,1,15,0,0,"1:15","1:15"," 0H 00M"
,"Stripling, Ross","548389","R","FF","335","92.6","2167","17.1",0.8181989211105994,0.8942939008428848,160.8343920087242,167.08093289002804,"4-Seam Fastball","89","765","750",-6.246540881303844,6.246540881303841,"15",12,45,12,30,0,15,"12:45","12:30","+0H 15M"
,"Walker, Taijuan","592836","R","FF","489","92.8","2113","18.5",0.8932700348239979,0.9692088490276667,144.35562229089044,149.2799770460381,"4-Seam Fastball","97","75","60",-4.924354755147675,4.9243547551476885,"15",1,15,1,0,0,15,"1:15","1:00","+0H 15M"
